Order ID,Order Date,Ship Date,Ship Mode,Segment,Region,City,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Profit Margin
CA-2022-01011,2022-01-24,2022-01-30,First Class,Consumer,West,Phoenix,Technology,Technology,Canon imageCLASS Copier,14599.4,5,0.2,2864.35,19.62
CA-2022-01012,2022-01-12,2022-01-19,First Class,Consumer,South,Charlotte,Furniture,Furniture,Sauder Classic Bookcase,2052.3,3,0.2,209.93,10.23
CA-2022-01013,2022-01-08,2022-01-09,Same Day,Home Office,East,New York,Office Supplies,Office Supplies,Acco Binder,1056.04,4,0,358.41,33.94
CA-2022-01014,2022-01-22,2022-01-26,Second Class,Corporate,Central,Indianapolis,Office Supplies,Office Supplies,Fellowes PB500 Binder,483.39,9,0.2,123.52,25.55
CA-2022-01015,2022-01-22,2022-01-28,Second Class,Consumer,South,Miami,Office Supplies,Office Supplies,Dixon Ticonderoga Pencils,805.44,6,0,204.19,25.35
CA-2022-01016,2022-01-19,2022-01-21,Standard Class,Consumer,West,Los Angeles,Furniture,Furniture,Global Adaptabilites Bookcase,159.51,1,0,14.43,9.05
CA-2022-01017,2022-01-22,2022-01-26,Same Day,Home Office,South,Houston,Furniture,Furniture,Bush Advantage Collection Desk,2735.76,4,0.2,267.74,9.79
CA-2022-01018,2022-01-04,2022-01-05,Standard Class,Consumer,West,Phoenix,Office Supplies,Office Supplies,Avery Binders,766.64,7,0.3,178.03,23.22
CA-2022-01019,2022-01-08,2022-01-10,Same Day,Corporate,West,Seattle,Office Supplies,Office Supplies,GBC DocuBind P400,652.8,4,0,116.22,17.8
CA-2022-01020,2022-01-04,2022-01-05,Same Day,Consumer,West,Los Angeles,Furniture,Furniture,Bevis Round Conference Table,9147.15,9,0,1074.97,11.75
CA-2022-01021,2022-01-06,2022-01-10,Same Day,Corporate,East,Boston,Office Supplies,Office Supplies,Ibico EPK-21 Binding System,295.67,1,0.1,60.03,20.3
CA-2022-01022,2022-01-05,2022-01-07,Standard Class,Home Office,Central,Indianapolis,Furniture,Furniture,Chromcraft Bull-Nose Table,1619.15,5,0.3,72.34,4.47
CA-2022-01023,2022-01-17,2022-01-24,Standard Class,Consumer,Central,Chicago,Technology,Technology,"Samsung Monitor 27""",5388.12,9,0,1164.25,21.61
CA-2022-01024,2022-01-08,2022-01-13,First Class,Home Office,East,Boston,Furniture,Furniture,Lesro Sheffield Chair,1245.1,10,0.3,57.97,4.66
CA-2022-01025,2022-01-08,2022-01-11,Standard Class,Corporate,South,Miami,Furniture,Furniture,Harbour Creations Chair,1586.06,7,0.1,145.35,9.16
CA-2022-01026,2022-01-03,2022-01-08,Second Class,Consumer,West,Denver,Office Supplies,Office Supplies,GBC DocuBind P400,616.96,4,0,108.89,17.65
CA-2022-01027,2022-01-23,2022-01-26,First Class,Consumer,East,Boston,Furniture,Furniture,Bevis Round Conference Table,11819.2,10,0.2,1235.91,10.46
CA-2022-01028,2022-02-24,2022-03-01,Second Class,Corporate,West,San Francisco,Technology,Technology,Cisco TelePresence System,2778.57,3,0.3,501.48,18.05
CA-2022-01029,2022-02-28,2022-03-01,First Class,Consumer,Central,Minneapolis,Furniture,Furniture,Bush Advantage Collection Desk,1580.8,2,0,168.11,10.63
CA-2022-01030,2022-02-18,2022-02-24,Standard Class,Consumer,Central,Minneapolis,Technology,Technology,"Samsung Monitor 27""",12240.06,7,0.3,1605.74,13.12
CA-2022-01031,2022-02-05,2022-02-06,Second Class,Corporate,South,Charlotte,Furniture,Furniture,O Sullivan Living Dimensions,2442.05,5,0,279.97,11.46
CA-2022-01032,2022-02-28,2022-03-04,Second Class,Consumer,Central,Chicago,Technology,Technology,Belkin USB Hub,22860.1,10,0,4859.52,21.26
CA-2022-01033,2022-02-26,2022-03-02,Standard Class,Corporate,South,Houston,Technology,Technology,Logitech MK710 Keyboard,3641.6,4,0,723.72,19.87
CA-2022-01034,2022-02-12,2022-02-15,First Class,Corporate,South,Miami,Technology,Technology,"Samsung Monitor 27""",3141.32,4,0.1,584.3,18.6
CA-2022-01035,2022-02-13,2022-02-19,First Class,Consumer,South,Atlanta,Technology,Technology,Belkin USB Hub,9844.02,9,0,1208.45,12.28
CA-2022-01036,2022-02-14,2022-02-19,Standard Class,Corporate,West,Denver,Furniture,Furniture,Harbour Creations Chair,1885.68,9,0,211.12,11.2
CA-2022-01037,2022-02-22,2022-02-28,First Class,Corporate,Central,Chicago,Furniture,Furniture,Bevis Round Conference Table,1951.72,4,0.3,88.99,4.56
CA-2022-01038,2022-02-17,2022-02-20,Second Class,Consumer,Central,Chicago,Office Supplies,Office Supplies,Acco Binder,708.54,7,0.2,205.08,28.94
CA-2022-01039,2022-02-20,2022-02-25,Second Class,Corporate,East,Washington DC,Furniture,Furniture,Sauder Classic Bookcase,2674.0,5,0,285.31,10.67
CA-2022-01040,2022-02-15,2022-02-19,Standard Class,Consumer,East,Baltimore,Furniture,Furniture,Harbour Creations Chair,6693.6,8,0.3,541.47,8.09
CA-2022-01041,2022-02-22,2022-02-25,Same Day,Consumer,West,Denver,Technology,Technology,Apple Smart Phone Full Size,9794.8,4,0,1319.71,13.47
CA-2022-01042,2022-02-07,2022-02-13,Standard Class,Home Office,Central,Chicago,Furniture,Furniture,Lesro Sheffield Chair,4435.9,7,0.3,264.02,5.95
CA-2022-01043,2022-02-06,2022-02-13,Second Class,Corporate,South,Houston,Office Supplies,Office Supplies,Avery Binders,1278.36,9,0,334.27,26.15
CA-2022-01044,2022-02-11,2022-02-18,Same Day,Corporate,Central,Indianapolis,Office Supplies,Office Supplies,Fiskars Scissors,1485.84,8,0.2,436.62,29.39
CA-2022-01045,2022-02-27,2022-03-05,First Class,Consumer,South,New Orleans,Furniture,Furniture,Global Adaptabilites Bookcase,4688.55,5,0.3,383.07,8.17
CA-2022-01046,2022-02-11,2022-02-16,Second Class,Consumer,East,Philadelphia,Technology,Technology,Logitech MK710 Keyboard,1088.74,2,0.3,155.83,14.31
CA-2022-01047,2022-02-14,2022-02-15,Standard Class,Home Office,West,Phoenix,Technology,Technology,"Samsung Monitor 27""",10094.96,4,0.2,1604.57,15.89
CA-2022-01048,2022-02-12,2022-02-15,Second Class,Home Office,South,Charlotte,Furniture,Furniture,HON 5400 Series Task Chair,7251.02,7,0.1,843.11,11.63
CA-2022-01049,2022-02-13,2022-02-16,Standard Class,Home Office,East,Philadelphia,Furniture,Furniture,HON 5400 Series Task Chair,6237.56,7,0,668.92,10.72
CA-2022-01050,2022-02-03,2022-02-09,Same Day,Corporate,South,Charlotte,Furniture,Furniture,HON 5400 Series Task Chair,1623.86,7,0,124.93,7.69
CA-2022-01051,2022-02-09,2022-02-16,Standard Class,Home Office,East,Washington DC,Technology,Technology,HP LaserJet Pro,6082.79,7,0,779.76,12.82
CA-2022-01052,2022-02-25,2022-03-03,Second Class,Consumer,South,Atlanta,Technology,Technology,Cisco TelePresence System,2299.56,1,0,494.32,21.5
CA-2022-01053,2022-02-07,2022-02-11,Standard Class,Home Office,West,Phoenix,Furniture,Furniture,Lesro Sheffield Chair,4694.65,5,0.2,250.8,5.34
CA-2022-01054,2022-02-19,2022-02-20,Second Class,Corporate,Central,Dallas,Office Supplies,Office Supplies,GBC DocuBind P400,874.3,5,0.1,289.92,33.16
CA-2022-01055,2022-02-28,2022-03-06,First Class,Consumer,West,San Francisco,Technology,Technology,Plantronics Savi W720,24457.5,10,0.2,4882.27,19.96
CA-2022-01056,2022-03-01,2022-03-08,Same Day,Home Office,East,Philadelphia,Technology,Technology,Logitech MK710 Keyboard,17455.48,7,0,2278.88,13.06
CA-2022-01057,2022-03-21,2022-03-24,Same Day,Corporate,Central,Kansas City,Technology,Technology,Belkin USB Hub,24533.7,10,0.1,4264.38,17.38
CA-2022-01058,2022-03-27,2022-03-28,Same Day,Home Office,Central,Indianapolis,Technology,Technology,Apple Smart Phone Full Size,13313.25,5,0.1,1922.25,14.44
CA-2022-01059,2022-03-16,2022-03-18,First Class,Home Office,East,Washington DC,Office Supplies,Office Supplies,Fellowes PB500 Binder,1442.16,6,0.2,314.49,21.81
CA-2022-01060,2022-03-08,2022-03-14,Same Day,Corporate,East,Baltimore,Office Supplies,Office Supplies,GBC DocuBind P400,1043.91,7,0.3,314.88,30.16
CA-2022-01061,2022-03-13,2022-03-19,First Class,Home Office,East,New York,Technology,Technology,Apple Smart Phone Full Size,4090.76,4,0.1,728.79,17.82
CA-2022-01062,2022-03-09,2022-03-12,Second Class,Consumer,East,Baltimore,Technology,Technology,"Samsung Monitor 27""",4035.15,5,0,775.27,19.21
CA-2022-01063,2022-03-25,2022-03-30,Second Class,Corporate,West,Phoenix,Technology,Technology,Lenovo ThinkPad,9565.5,10,0,1244.02,13.01
CA-2022-01064,2022-03-05,2022-03-08,Same Day,Consumer,East,Philadelphia,Technology,Technology,Belkin USB Hub,2926.74,1,0.3,513.16,17.53
CA-2022-01065,2022-03-16,2022-03-20,Standard Class,Consumer,West,Los Angeles,Furniture,Furniture,Chromcraft Bull-Nose Table,1718.94,6,0.1,75.82,4.41
CA-2022-01066,2022-03-05,2022-03-07,Same Day,Consumer,East,New York,Furniture,Furniture,HON 5400 Series Task Chair,11430.2,10,0,535.1,4.68
CA-2022-01067,2022-03-13,2022-03-17,Standard Class,Corporate,East,Baltimore,Technology,Technology,Belkin USB Hub,7979.68,8,0.1,1427.19,17.89
CA-2022-01068,2022-03-21,2022-03-23,Standard Class,Home Office,East,New York,Office Supplies,Office Supplies,Avery Binders,999.15,5,0,181.26,18.14
CA-2022-01069,2022-03-16,2022-03-19,Standard Class,Corporate,West,Phoenix,Furniture,Furniture,Lesro Sheffield Chair,339.25,1,0.3,32.76,9.66
CA-2022-01070,2022-03-22,2022-03-29,First Class,Consumer,Central,Minneapolis,Office Supplies,Office Supplies,Fiskars Scissors,521.68,4,0.3,135.07,25.89
CA-2022-01071,2022-03-20,2022-03-26,First Class,Home Office,Central,Chicago,Technology,Technology,Plantronics Savi W720,27754.0,10,0.1,4549.31,16.39
CA-2022-01072,2022-03-15,2022-03-16,First Class,Home Office,Central,Minneapolis,Furniture,Furniture,Chromcraft Bull-Nose Table,1246.4,10,0,92.93,7.46
CA-2022-01073,2022-03-19,2022-03-20,Same Day,Corporate,West,San Francisco,Office Supplies,Office Supplies,Fiskars Scissors,874.95,5,0,264.78,30.26
CA-2022-01074,2022-03-21,2022-03-28,First Class,Corporate,South,Miami,Office Supplies,Office Supplies,Dixon Ticonderoga Pencils,2326.96,8,0.1,567.78,24.4
CA-2022-01075,2022-03-10,2022-03-16,First Class,Consumer,Central,Dallas,Technology,Technology,"Samsung Monitor 27""",17280.62,7,0.1,3024.28,17.5
CA-2022-01076,2022-03-28,2022-04-02,Second Class,Consumer,West,Los Angeles,Office Supplies,Office Supplies,Dixon Ticonderoga Pencils,199.01,1,0.1,51.45,25.85
CA-2022-01077,2022-03-25,2022-03-26,Same Day,Corporate,East,Baltimore,Office Supplies,Office Supplies,Eldon Stackable Letterbox,335.12,4,0,59.05,17.62
CA-2022-01078,2022-03-10,2022-03-15,Standard Class,Corporate,West,Denver,Office Supplies,Office Supplies,Fellowes PB500 Binder,167.91,1,0,28.32,16.87
CA-2022-01079,2022-03-17,2022-03-23,Same Day,Consumer,Central,Dallas,Furniture,Furniture,Bush Advantage Collection Desk,2726.75,5,0.1,214.32,7.86
CA-2022-01080,2022-03-17,2022-03-23,First Class,Corporate,East,Washington DC,Technology,Technology,Lenovo ThinkPad,7837.44,3,0.1,1157.0,14.76
CA-2022-01081,2022-03-19,2022-03-25,First Class,Corporate,Central,Minneapolis,Office Supplies,Office Supplies,Fiskars Scissors,2082.0,8,0.1,498.24,23.93
CA-2022-01082,2022-04-28,2022-04-30,First Class,Consumer,Central,Kansas City,Furniture,Furniture,Harbour Creations Chair,2881.64,4,0.1,169.11,5.87
CA-2022-01083,2022-04-16,2022-04-17,Standard Class,Corporate,Central,Kansas City,Furniture,Furniture,Sauder Classic Bookcase,1927.71,3,0,168.12,8.72
CA-2022-01084,2022-04-14,2022-04-21,Same Day,Corporate,East,Washington DC,Technology,Technology,Motorola Smart Phone,1089.78,3,0,215.94,19.82
CA-2022-01085,2022-04-13,2022-04-16,First Class,Consumer,Central,Minneapolis,Office Supplies,Office Supplies,Rogers File Cabinet,2098.8,8,0,329.89,15.72
CA-2022-01086,2022-04-25,2022-05-01,First Class,Consumer,South,Houston,Furniture,Furniture,Eldon Fold N Roll Cart,1153.84,2,0,110.21,9.55
CA-2022-01087,2022-04-05,2022-04-07,Second Class,Consumer,Central,Minneapolis,Technology,Technology,HP LaserJet Pro,11919.15,9,0,2242.95,18.82
CA-2022-01088,2022-04-16,2022-04-21,Standard Class,Corporate,West,Phoenix,Furniture,Furniture,Global Adaptabilites Bookcase,1020.15,3,0.1,92.87,9.1
CA-2022-01089,2022-04-06,2022-04-07,Same Day,Home Office,South,New Orleans,Office Supplies,Office Supplies,Rogers File Cabinet,2270.72,8,0,789.14,34.75
CA-2022-01090,2022-04-13,2022-04-20,First Class,Home Office,Central,Kansas City,Office Supplies,Office Supplies,Avery Binders,291.68,8,0,66.0,22.63
CA-2022-01091,2022-04-09,2022-04-10,Same Day,Home Office,South,Atlanta,Technology,Technology,HP LaserJet Pro,26154.4,10,0,5174.16,19.78
CA-2022-01092,2022-04-20,2022-04-27,Second Class,Home Office,South,Atlanta,Office Supplies,Office Supplies,Avery Binders,417.66,6,0,78.53,18.8
CA-2022-01093,2022-04-02,2022-04-07,Same Day,Corporate,Central,Chicago,Technology,Technology,"Samsung Monitor 27""",13423.38,6,0,1731.8,12.9
CA-2022-01094,2022-04-17,2022-04-22,First Class,Corporate,West,San Francisco,Office Supplies,Office Supplies,Staple envelope,1249.95,5,0.1,251.73,20.14
CA-2022-01095,2022-04-25,2022-04-27,Same Day,Consumer,Central,Kansas City,Office Supplies,Office Supplies,Fellowes PB500 Binder,2032.38,7,0,631.9,31.09
CA-2022-01096,2022-04-22,2022-04-28,Second Class,Consumer,West,Denver,Technology,Technology,Logitech MK710 Keyboard,9080.0,5,0,1836.35,20.22
CA-2022-01097,2022-04-11,2022-04-16,First Class,Home Office,East,Baltimore,Office Supplies,Office Supplies,Rogers File Cabinet,784.24,4,0.1,217.3,27.71
CA-2022-01098,2022-04-10,2022-04-14,Same Day,Corporate,Central,Chicago,Technology,Technology,Canon imageCLASS Copier,854.0,2,0,178.25,20.87
CA-2022-01099,2022-04-14,2022-04-20,First Class,Consumer,East,Baltimore,Furniture,Furniture,Sauder Classic Bookcase,2027.48,2,0,180.96,8.93
CA-2022-01100,2022-04-04,2022-04-10,Same Day,Consumer,West,Phoenix,Office Supplies,Office Supplies,Staple envelope,993.72,6,0,343.4,34.56
CA-2022-01101,2022-04-03,2022-04-09,First Class,Consumer,West,Los Angeles,Office Supplies,Office Supplies,Eldon Stackable Letterbox,777.2,4,0,209.4,26.94
CA-2022-01102,2022-04-03,2022-04-10,Second Class,Corporate,West,San Francisco,Office Supplies,Office Supplies,Avery Binders,594.99,9,0,114.95,19.32
CA-2022-01103,2022-04-05,2022-04-10,Standard Class,Consumer,Central,Indianapolis,Technology,Technology,Motorola Smart Phone,12128.8,5,0,1588.78,13.1
CA-2022-01104,2022-04-06,2022-04-09,Standard Class,Home Office,East,Boston,Furniture,Furniture,HON 5400 Series Task Chair,221.97,1,0,16.35,7.37
CA-2022-01105,2022-04-15,2022-04-20,First Class,Home Office,East,Philadelphia,Furniture,Furniture,Eldon Fold N Roll Cart,4555.48,4,0.3,198.02,4.35
CA-2022-01106,2022-04-28,2022-05-02,Standard Class,Consumer,East,New York,Technology,Technology,"Samsung Monitor 27""",14737.66,7,0.1,2491.06,16.9
CA-2022-01107,2022-04-20,2022-04-26,First Class,Home Office,East,Boston,Technology,Technology,Plantronics Savi W720,17128.2,10,0.2,2612.37,15.25
CA-2022-01108,2022-05-28,2022-06-03,Same Day,Consumer,East,Washington DC,Technology,Technology,Cisco TelePresence System,19839.51,9,0.1,2807.34,14.15
CA-2022-01109,2022-05-11,2022-05-15,Same Day,Home Office,East,Washington DC,Furniture,Furniture,Eldon Fold N Roll Cart,4949.52,6,0,346.19,6.99
CA-2022-01110,2022-05-24,2022-05-30,First Class,Home Office,West,Los Angeles,Technology,Technology,Cisco TelePresence System,14781.24,6,0.2,2596.13,17.56
CA-2022-01111,2022-05-28,2022-06-03,Second Class,Consumer,Central,Kansas City,Technology,Technology,HP LaserJet Pro,2909.94,1,0,523.91,18.0
CA-2022-01112,2022-05-12,2022-05-19,Same Day,Consumer,West,Phoenix,Technology,Technology,Cisco TelePresence System,10777.95,9,0.2,2115.29,19.63
CA-2022-01113,2022-05-01,2022-05-06,First Class,Corporate,South,Charlotte,Furniture,Furniture,Bevis Round Conference Table,562.15,5,0,34.78,6.19
CA-2022-01114,2022-05-03,2022-05-05,Same Day,Corporate,West,San Francisco,Furniture,Furniture,O Sullivan Living Dimensions,182.77,1,0.1,15.07,8.25
CA-2022-01115,2022-05-25,2022-05-30,Standard Class,Home Office,East,Philadelphia,Technology,Technology,Logitech MK710 Keyboard,3921.3,10,0,491.19,12.53
CA-2022-01116,2022-05-16,2022-05-21,First Class,Consumer,Central,Minneapolis,Furniture,Furniture,O Sullivan Living Dimensions,4351.12,8,0.2,249.08,5.72
CA-2022-01117,2022-05-16,2022-05-21,Standard Class,Consumer,East,Philadelphia,Furniture,Furniture,Lesro Sheffield Chair,654.35,5,0.2,46.87,7.16
CA-2022-01118,2022-05-10,2022-05-13,Same Day,Consumer,West,San Francisco,Office Supplies,Office Supplies,Acco Binder,14.56,2,0,4.36,29.95
CA-2022-01119,2022-05-03,2022-05-07,Same Day,Corporate,East,Boston,Furniture,Furniture,Harbour Creations Chair,568.57,1,0,43.65,7.68
CA-2022-01120,2022-05-01,2022-05-04,Standard Class,Corporate,East,Washington DC,Technology,Technology,HP LaserJet Pro,7301.31,3,0.3,1327.47,18.18
CA-2022-01121,2022-05-13,2022-05-18,First Class,Consumer,East,New York,Technology,Technology,Lenovo ThinkPad,2555.88,2,0,386.01,15.1
CA-2022-01122,2022-05-17,2022-05-22,Second Class,Home Office,Central,Chicago,Furniture,Furniture,Eldon Fold N Roll Cart,4378.52,4,0.3,297.52,6.79
CA-2022-01123,2022-05-20,2022-05-22,Same Day,Corporate,West,San Francisco,Technology,Technology,Motorola Smart Phone,1309.74,2,0.1,258.39,19.73
CA-2022-01124,2022-05-11,2022-05-18,First Class,Home Office,Central,Indianapolis,Furniture,Furniture,Lesro Sheffield Chair,1494.42,6,0.1,67.94,4.55
CA-2022-01125,2022-05-03,2022-05-06,Standard Class,Consumer,Central,Indianapolis,Technology,Technology,Belkin USB Hub,11503.6,8,0,1445.88,12.57
CA-2022-01126,2022-05-18,2022-05-25,First Class,Consumer,Central,Indianapolis,Furniture,Furniture,Lesro Sheffield Chair,583.7,1,0.3,61.16,10.48
CA-2022-01127,2022-05-15,2022-05-16,Standard Class,Consumer,East,Baltimore,Technology,Technology,Canon imageCLASS Copier,17698.8,6,0.3,2273.11,12.84
CA-2022-01128,2022-05-17,2022-05-22,First Class,Corporate,West,Phoenix,Office Supplies,Office Supplies,Rogers File Cabinet,337.05,3,0.1,112.44,33.36
CA-2022-01129,2022-05-03,2022-05-06,Second Class,Home Office,Central,Chicago,Office Supplies,Office Supplies,Staple envelope,339.2,2,0,77.1,22.73
CA-2022-01130,2022-05-10,2022-05-16,Same Day,Corporate,East,Baltimore,Furniture,Furniture,Harbour Creations Chair,1571.01,7,0,151.93,9.67
CA-2022-01131,2022-05-03,2022-05-09,Second Class,Consumer,Central,Minneapolis,Office Supplies,Office Supplies,Rogers File Cabinet,1085.0,7,0,166.71,15.36
CA-2022-01132,2022-05-05,2022-05-06,Standard Class,Home Office,East,Washington DC,Technology,Technology,Motorola Smart Phone,12783.1,5,0.2,1663.26,13.01
CA-2022-01133,2022-06-05,2022-06-07,Same Day,Home Office,East,Baltimore,Technology,Technology,HP LaserJet Pro,7557.99,3,0,1489.75,19.71
CA-2022-01134,2022-06-15,2022-06-20,Second Class,Home Office,West,Seattle,Furniture,Furniture,Global Adaptabilites Bookcase,4613.4,5,0,473.81,10.27
CA-2022-01135,2022-06-12,2022-06-18,Same Day,Corporate,West,Phoenix,Office Supplies,Office Supplies,Avery Binders,2954.1,10,0,715.88,24.23
CA-2022-01136,2022-06-28,2022-07-01,Standard Class,Consumer,South,Miami,Office Supplies,Office Supplies,Fellowes PB500 Binder,194.15,1,0.2,63.06,32.48
CA-2022-01137,2022-06-05,2022-06-12,Standard Class,Corporate,West,San Francisco,Technology,Technology,Belkin USB Hub,2879.66,7,0.1,607.75,21.1
CA-2022-01138,2022-06-13,2022-06-14,First Class,Home Office,East,Washington DC,Furniture,Furniture,Global Adaptabilites Bookcase,1988.88,6,0,130.26,6.55
CA-2022-01139,2022-06-23,2022-06-30,Standard Class,Consumer,Central,Dallas,Technology,Technology,"Samsung Monitor 27""",6938.1,3,0.2,1158.05,16.69
CA-2022-01140,2022-06-24,2022-06-29,Standard Class,Corporate,West,San Francisco,Office Supplies,Office Supplies,Rogers File Cabinet,1168.74,9,0,356.74,30.52
CA-2022-01141,2022-06-15,2022-06-16,Second Class,Consumer,West,Phoenix,Furniture,Furniture,Lesro Sheffield Chair,2034.18,2,0.2,162.71,8.0
CA-2022-01142,2022-06-12,2022-06-14,First Class,Home Office,Central,Minneapolis,Furniture,Furniture,Lesro Sheffield Chair,5465.6,10,0,509.12,9.31
CA-2022-01143,2022-06-18,2022-06-19,First Class,Corporate,West,Denver,Furniture,Furniture,Bevis Round Conference Table,7406.91,7,0.1,322.07,4.35
CA-2022-01144,2022-06-08,2022-06-14,Standard Class,Consumer,Central,Minneapolis,Office Supplies,Office Supplies,Staple envelope,465.18,2,0,138.18,29.7
CA-2022-01145,2022-06-27,2022-07-04,Standard Class,Consumer,East,Philadelphia,Office Supplies,Office Supplies,Fellowes PB500 Binder,2354.72,8,0,578.57,24.57
CA-2022-01146,2022-06-02,2022-06-09,Same Day,Home Office,Central,Kansas City,Technology,Technology,Apple Smart Phone Full Size,10698.0,4,0,1621.38,15.16
CA-2022-01147,2022-06-25,2022-07-01,First Class,Home Office,South,Charlotte,Furniture,Furniture,HON 5400 Series Task Chair,1601.76,4,0,174.55,10.9
CA-2022-01148,2022-06-24,2022-06-28,First Class,Corporate,West,Seattle,Furniture,Furniture,O Sullivan Living Dimensions,3218.04,7,0.3,176.82,5.49
CA-2022-01149,2022-06-24,2022-06-28,First Class,Home Office,South,Charlotte,Technology,Technology,Cisco TelePresence System,2754.46,2,0,604.63,21.95
CA-2022-01150,2022-06-10,2022-06-14,Same Day,Corporate,East,New York,Technology,Technology,Plantronics Savi W720,21953.4,10,0.1,3000.25,13.67
CA-2022-01151,2022-06-09,2022-06-15,Second Class,Home Office,West,Seattle,Furniture,Furniture,O Sullivan Living Dimensions,164.05,1,0,14.93,9.1
CA-2022-01152,2022-06-02,2022-06-04,Standard Class,Corporate,South,Miami,Office Supplies,Office Supplies,Eldon Stackable Letterbox,149.24,2,0,41.64,27.9
CA-2022-01153,2022-06-15,2022-06-22,First Class,Corporate,East,Washington DC,Office Supplies,Office Supplies,Staple envelope,348.62,2,0.1,89.21,25.59
CA-2022-01154,2022-06-16,2022-06-21,Same Day,Home Office,West,Los Angeles,Technology,Technology,Motorola Smart Phone,19275.2,7,0,2540.01,13.18
CA-2022-01155,2022-06-07,2022-06-08,Standard Class,Corporate,West,Denver,Technology,Technology,"Samsung Monitor 27""",7741.65,3,0.3,1278.95,16.52
CA-2022-01156,2022-06-18,2022-06-23,Second Class,Home Office,Central,Minneapolis,Furniture,Furniture,Eldon Fold N Roll Cart,5391.45,5,0.3,582.86,10.81
CA-2022-01157,2022-06-26,2022-06-28,First Class,Home Office,Central,Indianapolis,Technology,Technology,Apple Smart Phone Full Size,9610.24,4,0.2,1178.49,12.26
CA-2022-01158,2022-06-03,2022-06-06,Same Day,Corporate,East,Baltimore,Technology,Technology,Cisco TelePresence System,20991.95,7,0.2,4028.08,19.19
CA-2022-01159,2022-06-21,2022-06-22,Second Class,Home Office,Central,Chicago,Technology,Technology,Logitech MK710 Keyboard,11820.96,8,0,2030.08,17.17
CA-2022-01160,2022-06-27,2022-06-28,Second Class,Home Office,Central,Dallas,Furniture,Furniture,HON 5400 Series Task Chair,2262.42,9,0,120.3,5.32
CA-2022-01161,2022-07-09,2022-07-11,Standard Class,Home Office,South,Charlotte,Office Supplies,Office Supplies,GBC DocuBind P400,773.64,9,0.2,212.75,27.5
CA-2022-01162,2022-07-05,2022-07-07,Standard Class,Consumer,East,Boston,Furniture,Furniture,Lesro Sheffield Chair,8871.1,10,0.2,784.3,8.84
CA-2022-01163,2022-07-25,2022-07-30,First Class,Home Office,West,Denver,Technology,Technology,Apple Smart Phone Full Size,13381.27,7,0.3,1646.28,12.3
CA-2022-01164,2022-07-10,2022-07-14,Same Day,Corporate,Central,Minneapolis,Furniture,Furniture,O Sullivan Living Dimensions,1702.5,2,0.1,89.63,5.26
CA-2022-01165,2022-07-24,2022-07-31,Standard Class,Home Office,West,Denver,Technology,Technology,Logitech MK710 Keyboard,17578.92,6,0,2339.34,13.31
CA-2022-01166,2022-07-08,2022-07-10,Second Class,Corporate,East,Washington DC,Technology,Technology,"Samsung Monitor 27""",588.46,2,0.2,126.25,21.45
CA-2022-01167,2022-07-24,2022-07-27,Same Day,Corporate,South,Miami,Office Supplies,Office Supplies,Fiskars Scissors,920.48,4,0.2,229.8,24.97
CA-2022-01168,2022-07-17,2022-07-21,Same Day,Corporate,South,New Orleans,Technology,Technology,HP LaserJet Pro,3052.64,4,0,474.04,15.53
CA-2022-01169,2022-07-28,2022-07-29,First Class,Corporate,East,Washington DC,Technology,Technology,Canon imageCLASS Copier,3721.97,7,0,545.07,14.64
